ID;Paper Title;Publication Type;Year;Author;Evaluation;Solution (RTF);Philosophical;Framework;Tool;Guideline;Solution (CTF);Technique;Component-based;SOA/Microservice;Client-Server Architecture;Data-Centric Architecture;Distributed Architecture;Three-Tier Architecture;Interpreter;Compiler;ONNX;Concept/Data Drift;Model Accuracy;RAM;CPU;Energy Consumption;Storage;Computional Latency;Central Training;Decentral Training;Hybrid Training;Model Versioning;Experiment Tracking;Data Versioning;Online Learning;Offline Learning;Lifelong Learning;Pruning;Quantization;Sparsification;Adaptive Computation;Knowledge Distillation;Code Generation;Test-Time Adaptation;Network/Model partitioning;Feature Caching;Automated Deployment;Automated Testing;Full Model Update;Partial Model Update;Rollback;Hardware Emulation;Containization;Sensor;Audio;Computer Vision;Ultra Low-Power;Mid-Range;High-Performance;Single-Board Computer;External Accelerator
1;Tiny-MLOps: a framework for orchestrating ML applications at the far edge of IoT systems;Conference;2022;Antonini et al.;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0
2;Tiny Machine Learning Sensor Platform for Local Sensor Data Fusion and Evaluation;Conference;2023;Fraidling et al.;0;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0
3;Resilience-aware MLOps for resource-constrained AI- system;Workshop;2024;Moskalenko et al. ;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
4;Advancing TinyMLOps: Robust Model Updates in the Internet of Intelligent Vehicles;Journal;2024;Flores et al.;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0
5;On-device Online Learning and Semantic Management of TinyML Systems;Journal;2024;Ren et al.;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0
6;RIOT-ML: toolkit for over-the-air secure updates and performance evaluation of TinyML models;Journal;2024;Huang et al.;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;0;0
7;SensOL: Memory-Efficient Online Learning for Tiny MCUs;Journal;2024;Demagh et al.;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0
8;TyBox: An Automatic Design and Code Generation Toolbox for TinyML Incremental On-Device Learning;Journal;2024;Pavan et al.;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
9;Enhanced FIWARE-Based Architecture for Cyberphysical Systems With Tiny Machine Learning and Machine Ops;Journal;2024;Conde et al. ;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0
10;Unlocking Edge Intelligence Through Tiny Machine Learning (TinyML);Journal;2022;Zaidi et al. ;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
11;TinyMLOps for real-time ultra-low power MCUs  applied to frame-based event classification;Workshop;2023;Le et al.;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0
12;A TinyMLaaS Ecosystem for Machine Learning in IoT Overview and Research Challenges;Conference;2021;Doyu et al. ;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
13;A VMContainerized Approach for Scaling TinyML Applications;Conference;2021;Lootus et al.;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0
14;Edge Impulse: An MLOps Platform for Tiny Machine Learning;Conference;2023;Banbury et al. ;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0
15;Edge MLOps An Automation Framework for AIoT Applications;Conference;2021;Raj et al. ;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1
16;Incremental On-Device Tiny Machine Learning;Workshop;2020;Disabato und Roveri ;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0
17;LinkEdge Open-sourced MLOps Integration with IoT Edge;Conference;2023;Peltonen und Dias ;0;1;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0
18;On-Device Training of Machine Learning Models on Microcontrollers With a Look at Federated Learning;Conference;2021;Grau et al. ;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
19;OTA-TinyML Over the Air Deployment of TinyML Models and Execution on IoT Devices;Journal;2022;Sudharsan et al.;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0
20;SensiX++ Bringing MLOps and Multi-tenant Model Serving to Sensory Edge Devices;Journal;2023;Min et al;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1
21;TDMiL Tiny Distributed Machine Learning for Microcontroller-Based Interconnected Devices;Journal;2024;Gulati et al. ;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0
22;Train++ An Incremental ML Model Training Algorithm to Create Self-Learning IoT Devices;Conference;2021;Sudharsan et al. ;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0
24;Agile AI and Firmware Management in IoT DevOps for Low-Power Microcontroller-Based Platforms;Conference;2024;AlSelek et al.;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;0
25;Dynamic AI-IoT Enabling Updatable AI Models in Ultralow-Power 5G IoT Devices;Journal;2024;AlSelek et al.;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0
26;Edge2Train a framework to train machine learning models (SVMs) on resource-constrained IoT edge dev;Conference;2020;Sudharsan et al. ;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0
28;Tiny Machine Learning for Concept Drift;Journal;2022;Disabato und Roveri ;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
29;LifeLearner: Hardware-Aware Meta Continual Learning System for Embedded Computing Platforms;Conference;2023;Kwon et al.;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0
30;A Serverless Cloud-to-Thing Framework for TinyMLOps Workflows;Workshop;2025;Loconte et al.;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0
31;AutoODL: Automated on-device learning via dynamic unfreezing and semi-supervised labeling for edge AI;Journal;2026;Wang et al.;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
32;Online On-Device Adaptation of Linguistic Fuzzy Models for TinyML Systems;Journal;2025;Martin-Moreno et al.;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
33;DART: Device-Native Adaptive Real-Time Training for Lifelong Learning on IoT Boards;Conference;2025;Al-Ameen et al.;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0
34;MicroFlow: An Efficient Rust-Based Inference Engine for TinyML;Journal;2025;Carnelos et al.;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0
35;Dendron: Enhancing Human Activity Recognition With on-Device Tinyml Learning;Conference;2025;Shalby et al.;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0
36;FedTinyMed: Federated learning enabled tiny multi task machine learning model for smart healthcare monitoring for IoMT;Journal;2025;Kahn et al.;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0
37;TinyML as a Service on Multi-Tenant Microcontrollers;Conference;2025;Buil et al.;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0
38;TinyKubeML: Orchestrating TinyML Models on Far-Edge Clusters;Conference;2025;Oliveira et al.;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0
39;TensorFlores: An enhanced Python-based TinyML framework;Journal;2025;Flores et al.;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0
40;InTec: integrated things-edge computing: a framework for distributing machine learning pipelines in edge AI systems;Journal;2025;Larian et al.;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0
42;RockNet: Distributed Learning on Ultra-Low-Power Devices;Journal;2026;Gräfe et al.;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
43;On-Device Federated Learning for Energy-Efficient Smart Irrigation;Journal;2025;Dakhia et al.;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
44;Remote Update of an IoT Device Convolutional Neural Network Model Using MQTT;Conference;2025;Landazuri et al.;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0
45;Zeki: A Containerized Pipeline for Deep Learning Deployment for Edge-based Structural Health Monitoring;Conference;2025;Farjad et al.;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0
46;Efficient On-Device Domain Learning for Keyword Spotting on Ultra-Low-Power Platforms;Journal;2026;Cioflan et al.;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
47;On-device training and pruning for energy saving and continuous learning in resource-constrained MCUs;Journal;2026;Fusco et al.;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0
48;FedCoRE: Effective Federated Learning for constrained RESTful environments in the Artificial Intelligence of Things;Journal;2025;Djamaa et al.;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
49;TinyFL_HKD: Enhancing Edge AI Federated Learning With Hierarchical Knowledge Distillation Framework;Journal;2025;Hung et al.;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
50;Concept Drift Mitigation on Resource-Constrained IoT Devices via Self-Learning;Journal;2025;Kargar et al.;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0
51;InfiniCL: Elastic Continual Learning for Resource-Constrained Edge Devices;Conference;2025;Lu et al.;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
52;Consolidating TinyML Lifecycle With Large Language Models: Reality, Illusion, or Opportunity?;Journal;2025;Wu et al.;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0
53;A Platform for Machine Learning Operations for Network Constrained Far-Edge Devices;Journal;2025;McCormack et al.;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0
54;Poster: Road to Tiny Reality: Digital Twins for Decentralized AI on Microcontrollers;Conference;2025;Asadi et al.;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0
